elapsed_time_s,vib_x_raw_g,vib_y_raw_g,vib_z_raw_g,vib_x_corr_g,vib_y_corr_g,vib_z_corr_g,vib_x_rms_g,vib_y_rms_g,vib_z_rms_g,rpm,omega_z_dps
0.160000,0.530171,0.081131,-0.396968,0.530196,0.074640,-0.369181,0.403079,0.237666,0.420245,152.051537,912.044760
0.170000,-0.485827,-0.158340,0.528169,-0.485851,-0.145673,0.491198,0.408118,0.233508,0.424498,151.452905,912.726993
0.180000,0.005248,0.539302,0.033254,0.005249,0.496158,0.030926,0.397235,0.254190,0.413237,151.256788,913.396665
0.190000,-0.405740,-0.155940,-0.963145,-0.405762,-0.143465,-0.895725,0.397665,0.249822,0.449826,152.528851,914.053113
0.200000,0.267236,0.188503,-0.062564,0.267252,0.173423,-0.058184,0.392439,0.246721,0.439168,152.093755,914.695690
0.210000,0.416154,-0.332080,0.751946,0.416180,-0.305513,0.699310,0.393549,0.249694,0.454237,152.802023,915.323762
0.220000,-0.045348,0.210727,-0.124629,-0.045351,0.193869,-0.115905,0.385015,0.247529,0.444909,152.390691,915.936709
0.230000,0.267098,-0.078636,-0.453965,0.267116,-0.072345,-0.422188,0.380832,0.242767,0.443986,152.194673,916.533926
0.240000,-0.422855,-0.121487,0.531141,-0.422884,-0.111768,0.493961,0.382603,0.238910,0.446092,152.230712,917.114823
0.250000,0.507906,0.047786,-0.368951,0.507943,0.043963,-0.343124,0.388173,0.234429,0.442575,152.689007,917.678827
0.260000,-0.498901,-0.485875,-0.703816,-0.498938,-0.447005,-0.654548,0.392832,0.245605,0.452201,152.900872,918.225381
0.270000,0.297210,0.287030,0.252664,0.297234,0.264067,0.234978,0.389822,0.246289,0.446268,152.713928,918.753945
0.280000,-0.160374,-0.301664,0.219241,-0.160387,-0.277530,0.203894,0.384198,0.247432,0.440137,153.070113,919.263999
0.290000,0.152585,0.373097,-0.739644,0.152598,0.343250,-0.687869,0.378767,0.251215,0.450595,152.524455,919.755039
0.300000,0.519594,-0.524646,0.314992,0.519639,-0.482674,0.292943,0.384118,0.261894,0.446379,153.378341,920.226579
0.310000,-0.229398,0.263431,0.759972,-0.229418,0.242357,0.706774,0.380238,0.261306,0.456769,152.549535,920.678155
0.320000,0.200770,-0.266588,-0.417531,0.200788,-0.245261,-0.388304,0.376060,0.260834,0.454846,153.421292,921.109320
0.330000,-0.700210,-0.162373,-0.544343,-0.700277,-0.149383,-0.506239,0.389468,0.258243,0.456440,153.935255,921.519650
0.340000,0.592793,-0.082904,0.638558,0.592852,-0.076272,0.593859,0.396728,0.254854,0.460935,154.197426,921.908739
0.350000,-0.515783,0.046406,-0.208174,-0.515835,0.042693,-0.193601,0.400515,0.251390,0.455632,154.569891,922.276203
0.360000,0.460990,0.245118,-0.560991,0.461038,0.225508,-0.521722,0.402271,0.250726,0.457544,152.992136,922.621680
0.370000,-0.497927,-0.432169,0.288733,-0.497980,-0.397596,0.268522,0.405079,0.255674,0.453580,154.203500,922.944827
0.380000,0.352990,0.416647,0.471409,0.353029,0.383316,0.438411,0.403828,0.259731,0.453197,154.477362,923.245328
0.390000,-0.125078,-0.209382,-0.510150,-0.125092,-0.192631,-0.474439,0.399239,0.258267,0.453741,154.410759,923.522884
0.400000,-0.040941,0.103996,0.290034,-0.040946,0.095676,0.269731,0.394392,0.255535,0.450148,153.498208,923.777222
0.410000,0.156174,-0.423754,0.351783,0.156193,-0.389853,0.327158,0.390413,0.259542,0.447613,154.207247,924.008091
0.420000,-0.096633,0.228168,-0.654482,-0.096645,0.209915,-0.608668,0.386128,0.258496,0.452011,154.965905,924.215263
0.430000,0.262943,0.114452,-0.124855,0.262976,0.105296,-0.116115,0.383768,0.256034,0.447187,153.317785,924.398533
0.440000,-0.121769,-0.221451,0.368599,-0.121785,-0.203735,0.342797,0.379914,0.254989,0.445134,154.331122,924.557721
0.450000,0.244231,0.076126,-0.180421,0.244262,0.070036,-0.167791,0.377484,0.252413,0.440963,154.671590,924.692669
0.460000,-0.379037,-0.247663,-0.858903,-0.379087,-0.227850,-0.798780,0.377518,0.251915,0.451538,153.785579,924.803245
0.470000,0.323995,0.127958,0.109703,0.324039,0.117721,0.102024,0.376481,0.249856,0.447053,154.439708,924.889338
0.480000,-0.527320,-0.218612,0.537110,-0.527394,-0.201123,0.499513,0.380161,0.248957,0.448185,153.623031,924.950865
0.490000,0.007394,0.270400,-0.804755,0.007395,0.248768,-0.748422,0.376341,0.248953,0.456130,153.758523,924.987765
0.500000,0.236310,-0.330290,0.239989,0.236344,-0.303867,0.223190,0.374100,0.250146,0.452716,153.758127,925.000000
0.510000,-0.229162,0.167179,0.525714,-0.229195,0.153805,0.488914,0.371846,0.248645,0.453440,154.260747,924.987559
0.520000,0.371815,-0.029331,-0.038162,0.371871,-0.026985,-0.035491,0.371847,0.246316,0.449168,154.112918,924.950454
0.530000,-0.398035,0.195704,-0.550324,-0.398096,0.180048,-0.511801,0.372350,0.245252,0.450407,154.625178,924.888722
0.540000,0.349946,0.038250,1.129368,0.350001,0.035190,1.050313,0.371955,0.243058,0.468226,153.663598,924.802424
0.550000,-0.439632,-0.388324,0.228701,-0.439702,-0.357258,0.212692,0.373273,0.245564,0.464896,154.049636,924.691645
0.560000,0.492020,0.281106,-0.204777,0.492100,0.258617,-0.190442,0.375682,0.245799,0.461490,154.573287,924.556494
0.570000,-0.203899,-0.567118,0.054381,-0.203933,-0.521748,0.050574,0.373390,0.253118,0.457542,154.346573,924.397105
0.580000,0.459983,-0.010478,0.189518,0.460060,-0.009640,0.176251,0.375026,0.250967,0.454228,153.373285,924.213635
0.590000,-0.315348,-0.210436,-0.698177,-0.315402,-0.193601,-0.649304,0.374110,0.250119,0.458161,154.333646,924.006264
0.600000,-0.171472,0.342490,-0.025569,-0.171502,0.315091,-0.023779,0.371681,0.251319,0.454400,153.723324,923.775199
0.610000,0.381931,-0.145520,0.326927,0.381998,-0.133879,0.304043,0.371849,0.249863,0.452371,154.112804,923.520666
0.620000,-0.142045,0.194427,0.008989,-0.142070,0.178873,0.008360,0.369320,0.248895,0.448768,154.024160,923.242918
0.630000,0.101273,-0.071845,0.103668,0.101292,-0.066097,0.096411,0.366642,0.247081,0.445411,154.433364,922.942228
0.640000,-0.297772,-0.144442,0.839959,-0.297827,-0.132887,0.781162,0.365682,0.245726,0.452468,153.828095,922.618892
0.650000,0.638960,0.231471,0.387545,0.639080,0.212954,0.360417,0.371329,0.245262,0.451213,152.785302,922.273231
0.660000,-0.419908,-0.321109,-0.544152,-0.419988,-0.295420,-0.506061,0.372102,0.246086,0.452081,152.966001,921.905585
0.670000,0.283583,0.238652,0.485107,0.283638,0.219560,0.451150,0.370954,0.245717,0.452067,153.951630,921.516318
0.680000,-0.294077,-0.429379,0.483480,-0.294135,-0.395028,0.449637,0.369954,0.248522,0.452032,153.388477,921.105813
0.690000,0.145287,0.035924,-0.879140,0.145316,0.033050,-0.817600,0.367713,0.246772,0.459307,154.014735,920.674475
0.700000,-0.361537,-0.356074,0.305701,-0.361610,-0.327588,0.284302,0.367628,0.248093,0.457308,153.507175,920.222731
0.710000,-0.010967,0.021874,0.739675,-0.010969,0.020124,0.687898,0.365068,0.246376,0.461300,152.917305,919.751027
0.720000,0.171602,-0.059080,-0.602840,0.171638,-0.054353,-0.560641,0.363115,0.244765,0.462805,153.751174,919.259827
0.730000,-0.064075,0.010040,0.106837,-0.064088,0.009237,0.099358,0.360730,0.243108,0.459813,152.721237,918.749616
0.740000,0.165284,0.173163,0.110835,0.165319,0.159310,0.103077,0.358825,0.242182,0.456892,152.010499,918.220900
0.750000,-0.433265,-0.188891,-0.107793,-0.433359,-0.173779,-0.100248,0.359906,0.241408,0.454022,153.977597,917.674198
0.760000,0.507885,0.371449,-0.486134,0.507997,0.341733,-0.452105,0.362218,0.242976,0.453997,151.896301,917.110051
0.770000,-0.403695,-0.128612,0.330054,-0.403785,-0.118323,0.306950,0.362781,0.241785,0.452414,153.073042,916.529016
0.780000,0.194904,0.325822,0.372780,0.194948,0.299757,0.346685,0.361144,0.242605,0.451231,153.124703,915.931666
0.790000,-0.282917,-0.428765,-0.851923,-0.282981,-0.394464,-0.792288,0.360272,0.245085,0.457068,152.626631,915.318590
0.800000,-0.210224,0.226760,-0.125022,-0.210273,0.208619,-0.116270,0.358802,0.244668,0.454421,151.606701,914.690395
0.810000,0.023914,-0.308434,0.490698,0.023920,-0.283760,0.456349,0.356618,0.245182,0.454445,152.848791,914.047699
0.820000,-0.258373,0.060476,-0.248325,-0.258434,0.055638,-0.230942,0.355596,0.243777,0.452409,151.511084,913.391138
0.830000,0.379501,0.009164,-0.298649,0.379592,0.008431,-0.277744,0.355891,0.242324,0.450728,151.448412,912.721359
0.840000,-0.128985,-0.177641,0.289748,-0.129016,-0.163429,0.269465,0.354068,0.241545,0.449021,151.825670,912.039023
0.850000,0.293139,0.274403,0.030989,0.293211,0.252451,0.028820,0.353421,0.241675,0.446414,152.285053,911.344805
0.860000,-0.400805,-0.019528,-0.727977,-0.400904,-0.017966,-0.677019,0.354003,0.240290,0.449737,151.923288,910.639389
0.870000,0.171963,0.287112,0.234918,0.172006,0.264143,0.218474,0.352463,0.240574,0.447780,152.059296,909.923471
0.880000,0.170732,-0.259847,0.107885,0.170775,-0.239060,0.100333,0.350944,0.240557,0.445385,151.311138,909.197758
0.890000,0.078427,0.296368,-0.523669,0.078447,0.272659,-0.487013,0.349087,0.240937,0.445868,151.324403,908.462967
0.900000,-0.235163,-0.356864,-0.206840,-0.235224,-0.328315,-0.192362,0.348038,0.242069,0.443870,150.718069,907.719822
0.910000,0.036391,0.160810,0.088847,0.036400,0.147945,0.082628,0.346163,0.241243,0.441535,151.003077,906.969058
0.920000,0.430413,-0.157130,-0.330073,0.430527,-0.144560,-0.306968,0.347179,0.240411,0.440307,151.331800,906.211414
0.930000,-0.470210,-0.052181,-0.233106,-0.470336,-0.048007,-0.216789,0.348718,0.239180,0.438529,150.758026,905.447640
0.940000,0.511838,0.150566,0.630939,0.511977,0.138521,0.586774,0.350832,0.238342,0.440350,151.017478,904.678489
0.950000,-0.106556,-0.167044,-0.288940,-0.106585,-0.153680,-0.268714,0.349170,0.237615,0.438908,150.364150,903.904720
0.960000,0.268757,0.359901,-0.880986,0.268831,0.331109,-0.819317,0.348436,0.238766,0.444494,150.224987,903.127097
0.970000,-0.413255,-0.137049,0.079650,-0.413371,-0.126085,0.074075,0.349160,0.237886,0.442283,150.410649,902.346387
0.980000,0.233647,0.593546,0.126836,0.233713,0.546063,0.117957,0.348185,0.242961,0.440203,150.163119,901.563361
0.990000,0.146573,-0.222031,-0.633035,0.146615,-0.204269,-0.588723,0.346750,0.242605,0.441936,150.425991,900.778792
1.000000,-0.016053,0.221099,0.028933,-0.016057,0.203411,0.026908,0.345911,0.240606,0.441536,150.088054,899.993454
1.010000,0.116194,-0.227133,0.779270,0.116228,-0.208963,0.724721,0.346045,0.239839,0.441000,150.738194,899.208123
1.020000,-0.346427,0.258928,-0.133132,-0.346529,0.238214,-0.123813,0.340303,0.241011,0.441047,149.627515,898.423574
1.030000,0.325826,-0.030250,-0.685087,0.325923,-0.027830,-0.637131,0.341463,0.238473,0.444141,149.493137,897.640580
1.040000,-0.613798,-0.087985,0.557049,-0.613983,-0.080946,0.518055,0.342965,0.238381,0.446176,148.956587,896.859916
1.050000,0.434251,0.193515,-0.297712,0.434382,0.178034,-0.276872,0.341863,0.238669,0.446223,149.358447,896.082350
1.060000,-0.475899,-0.188470,-0.514594,-0.476044,-0.173392,-0.478572,0.338069,0.239073,0.445241,149.559523,895.308652
1.070000,0.318305,0.194936,0.095307,0.318403,0.179341,0.088636,0.338839,0.239418,0.444828,148.719783,894.539584
1.080000,-0.401686,-0.221986,0.007431,-0.401811,-0.204227,0.006910,0.341208,0.236027,0.442348,148.937815,893.775906
1.090000,0.259929,0.266377,-0.910400,0.260011,0.245067,-0.846672,0.339942,0.235009,0.447067,149.195674,893.018371
1.100000,0.118051,-0.327330,0.143865,0.118088,-0.301143,0.133794,0.340010,0.236029,0.447246,148.647833,892.267728
1.110000,-0.291889,0.230516,0.236911,-0.291983,0.212075,0.220327,0.340561,0.235787,0.444733,148.327884,891.524716
1.120000,0.090195,0.124725,-0.548914,0.090225,0.114747,-0.510490,0.338971,0.235616,0.447083,148.951558,890.790070
1.130000,-0.272441,-0.067012,-0.387535,-0.272530,-0.061651,-0.360408,0.337155,0.234626,0.445622,148.392596,890.064515
1.140000,0.467933,-0.035759,0.631502,0.468087,-0.032898,0.587297,0.340369,0.233206,0.444078,148.423077,889.348766
1.150000,-0.319852,-0.123727,0.289666,-0.319958,-0.113829,0.269389,0.337765,0.233292,0.444805,148.692952,888.643531
1.160000,0.553907,0.388784,-0.617054,0.554092,0.357681,-0.573860,0.338148,0.235900,0.446970,148.564242,887.949505
1.170000,-0.271984,-0.146052,0.140017,-0.272076,-0.134368,0.130216,0.335744,0.235832,0.444453,147.704293,887.267373
1.180000,0.382372,0.505880,0.381716,0.382502,0.465410,0.354996,0.337915,0.235205,0.445858,147.503587,886.597809
1.190000,-0.344866,-0.140788,-0.811828,-0.344985,-0.129525,-0.755000,0.337239,0.235124,0.443245,147.799067,885.941474
1.200000,-0.098694,0.224259,0.152800,-0.098728,0.206319,0.142104,0.336324,0.235389,0.443435,147.483442,885.299015
1.210000,0.250069,-0.380866,0.772776,0.250157,-0.350397,0.718682,0.334675,0.236014,0.443745,146.495247,884.671066
1.220000,-0.337383,0.271416,-0.089958,-0.337502,0.249703,-0.083661,0.336342,0.236538,0.443672,147.980722,884.058248
1.230000,0.317664,0.267628,-0.622309,0.317777,0.246218,-0.578747,0.336782,0.237706,0.445435,147.253208,883.461165
1.240000,-0.301044,-0.157976,0.586689,-0.301152,-0.145338,0.545621,0.335471,0.237887,0.446037,147.514923,882.880407
1.250000,0.510362,0.338329,0.007945,0.510547,0.311262,0.007389,0.335510,0.239875,0.444716,146.466299,882.316546
1.260000,-0.276822,-0.160721,-0.472026,-0.276923,-0.147863,-0.438984,0.332934,0.236136,0.442058,147.605792,881.770140
1.270000,0.344357,0.431824,0.449121,0.344483,0.397278,0.417683,0.333389,0.237995,0.443404,146.579490,881.241727
1.280000,-0.426189,-0.447077,0.336221,-0.426347,-0.411311,0.312686,0.335721,0.239923,0.444038,146.734805,880.731829
1.290000,0.203764,0.355335,-0.545448,0.203840,0.326908,-0.507267,0.335993,0.239694,0.441600,146.006113,880.240951
1.300000,-0.145422,-0.393685,-0.035006,-0.145476,-0.362190,-0.032555,0.332269,0.237562,0.440640,146.544788,879.769575
1.310000,-0.197285,-0.215332,0.320661,-0.197360,-0.198105,0.298215,0.332063,0.237151,0.435956,146.438126,879.318167
1.320000,-0.019252,-0.039930,-0.273740,-0.019259,-0.036736,-0.254579,0.331461,0.235908,0.434969,146.388515,878.887174
1.330000,-0.200740,0.085744,-0.594328,-0.200818,0.078885,-0.552725,0.324601,0.235567,0.435534,146.632089,878.477019
1.340000,0.481950,-0.124807,0.633924,0.482137,-0.114823,0.589549,0.322762,0.235723,0.435476,146.378191,878.088109
1.350000,-0.479392,-0.093250,-0.043376,-0.479579,-0.085790,-0.040340,0.322203,0.235840,0.435064,146.774696,877.720827
1.360000,0.448876,0.517905,-0.748712,0.449053,0.476473,-0.696303,0.322033,0.239546,0.437501,145.995177,877.375535
1.370000,-0.242127,0.054005,0.431349,-0.242223,0.049685,0.401154,0.319080,0.236276,0.438515,145.677421,877.052574
1.380000,0.383472,0.403002,0.631659,0.383624,0.370762,0.587443,0.319433,0.236075,0.440254,146.115824,876.752264
1.390000,-0.263124,-0.548387,-0.411700,-0.263230,-0.504516,-0.382881,0.320272,0.240636,0.439362,146.393334,876.474900
1.400000,0.041082,0.172255,-0.221534,0.041099,0.158474,-0.206027,0.320272,0.240968,0.439017,146.659114,876.220757
1.410000,0.232965,-0.210259,0.815850,0.233060,-0.193439,0.758740,0.320739,0.238579,0.444322,146.405308,875.990085
1.420000,-0.359719,-0.111969,-0.487412,-0.359866,-0.103012,-0.453293,0.322607,0.237877,0.442462,145.081132,875.783111
1.430000,0.191608,-0.022725,-0.193928,0.191688,-0.020907,-0.180353,0.322104,0.237653,0.442677,146.121869,875.600041
1.440000,-0.329056,-0.003763,0.601807,-0.329193,-0.003462,0.559680,0.323553,0.236778,0.444882,146.637028,875.441054
1.450000,0.236467,0.021496,0.131025,0.236566,0.019776,0.121853,0.323495,0.236683,0.444733,145.915673,875.306309
1.460000,-0.393792,-0.237369,-0.376514,-0.393958,-0.218379,-0.350158,0.323673,0.236593,0.438900,145.607968,875.195937
1.470000,0.391945,0.240798,0.455616,0.392111,0.221534,0.423723,0.324425,0.237337,0.440822,146.006255,875.110047
1.480000,-0.171379,-0.449717,0.531968,-0.171453,-0.413739,0.494730,0.320569,0.240075,0.440768,145.589833,875.048725
1.490000,0.089559,0.253277,-0.590034,0.089598,0.233015,-0.548732,0.320693,0.239917,0.437820,146.154895,875.012032
1.500000,0.158724,-0.193504,0.190754,0.158793,-0.178024,0.177401,0.320215,0.238650,0.437610,145.826836,875.000002
1.510000,-0.290311,0.394129,0.471691,-0.290438,0.362598,0.438672,0.320711,0.240898,0.437078,146.531941,875.012648
1.520000,0.241961,-0.023197,-0.546095,0.242068,-0.021341,-0.507869,0.319467,0.240892,0.440004,146.091411,875.049958
1.530000,-0.545731,-0.274599,-0.257403,-0.545972,-0.252631,-0.239385,0.321644,0.241543,0.437672,145.490040,875.111895
1.540000,0.341339,0.100594,0.669999,0.341491,0.092547,0.623099,0.321553,0.241695,0.429428,146.168715,875.198398
1.550000,-0.343275,-0.197451,-0.263349,-0.343429,-0.181655,-0.244914,0.320378,0.239729,0.429599,146.352903,875.309381
1.560000,0.859981,0.285436,-0.685897,0.860369,0.262601,-0.637884,0.328059,0.239772,0.433892,145.623228,875.444734
1.570000,0.046396,-0.104984,-0.141742,0.046417,-0.096585,-0.131820,0.327458,0.234226,0.434062,145.721157,875.604325
1.580000,0.228669,0.525995,0.310357,0.228773,0.483916,0.288632,0.325016,0.239171,0.434664,144.812074,875.787995
1.590000,-0.045540,-0.550049,-0.724785,-0.045561,-0.506045,-0.674050,0.323514,0.243698,0.435040,146.450964,875.995564
1.600000,0.118006,0.166284,0.168710,0.118060,0.152981,0.156901,0.323275,0.242136,0.435317,145.743927,876.226825
1.610000,0.139123,0.052081,0.618647,0.139187,0.047914,0.575342,0.321312,0.241813,0.438048,145.019084,876.481553
1.620000,-0.453271,0.067210,-0.748235,-0.453484,0.061833,-0.695859,0.324185,0.241230,0.443540,145.242196,876.759493
1.630000,0.351492,-0.037469,0.048651,0.351657,-0.034472,0.045246,0.325929,0.241164,0.443458,146.065254,877.060374
1.640000,-0.586952,-0.123134,0.483923,-0.587230,-0.113283,0.450049,0.329835,0.241064,0.438838,146.610979,877.383896
1.650000,0.558537,0.150059,0.078489,0.558803,0.138054,0.072995,0.328374,0.240518,0.437416,146.243758,877.729742
1.660000,-0.466946,-0.264118,-0.544341,-0.467170,-0.242989,-0.506237,0.329011,0.239931,0.437418,146.585484,878.097570
1.670000,0.260422,0.214426,0.439772,0.260548,0.197272,0.408988,0.328820,0.239737,0.437003,145.863753,878.487016
1.680000,-0.120256,-0.335952,0.621376,-0.120315,-0.309076,0.577879,0.327723,0.238471,0.438508,145.812267,878.897696
1.690000,0.018144,0.398341,-0.662939,0.018153,0.366474,-0.616533,0.327405,0.241248,0.435208,146.997728,879.329205
1.700000,-0.045580,-0.321937,-0.354520,-0.045602,-0.296182,-0.329703,0.325434,0.240842,0.435528,146.876259,879.781118
1.710000,0.111411,-0.158495,0.486334,0.111466,-0.145815,0.452290,0.325623,0.241274,0.432433,146.693577,880.252987
1.720000,0.285530,-0.228491,-0.173435,0.285672,-0.210212,-0.161294,0.326423,0.242127,0.429087,147.431771,880.744347
1.730000,-0.404525,0.174469,-0.467982,-0.404728,0.160511,-0.435223,0.328860,0.242657,0.431174,146.400190,881.254714
1.740000,0.315312,-0.133330,0.548072,0.315471,-0.122664,0.509707,0.329956,0.242444,0.434054,146.753797,881.783583
1.750000,-0.753944,0.076253,-0.094374,-0.754326,0.070152,-0.087768,0.335683,0.241922,0.434027,147.568258,882.330432
1.760000,0.677323,0.148956,-0.490750,0.677668,0.137039,-0.456398,0.338666,0.239888,0.434072,148.068018,882.894722
1.770000,-0.212540,-0.298892,0.427635,-0.212648,-0.274981,0.397701,0.336922,0.241169,0.434808,147.250195,883.475896
1.780000,0.020739,0.524415,0.439280,0.020750,0.482462,0.408530,0.336364,0.244114,0.435344,148.185323,884.073379
1.790000,0.278083,-0.146816,-0.768108,0.278227,-0.135071,-0.714340,0.336324,0.241284,0.433994,147.146509,884.686583
1.800000,0.092984,0.375872,-0.248518,0.093033,0.345802,-0.231121,0.335795,0.242855,0.434453,147.717359,885.314902
1.810000,-0.327903,-0.041242,0.367985,-0.328074,-0.037943,0.342226,0.337385,0.241222,0.433403,147.572708,885.957716
1.820000,-0.090426,0.303559,-0.151743,-0.090474,0.279274,-0.141121,0.336516,0.242769,0.433017,146.974941,886.614390
1.830000,0.270407,-0.115965,-0.523204,0.270550,-0.106688,-0.486580,0.335461,0.243002,0.434856,148.009699,887.284276
1.840000,-0.339340,-0.040380,0.547699,-0.339521,-0.037150,0.509360,0.336928,0.242480,0.436999,148.460827,887.966714
1.850000,0.229222,-0.112187,-0.184915,0.229344,-0.103212,-0.171971,0.336432,0.241383,0.437328,148.036038,888.661028
1.860000,-0.611902,-0.291305,-0.497889,-0.612231,-0.268001,-0.463036,0.339599,0.242860,0.434530,148.192528,889.366535
1.870000,0.474121,0.646487,-0.113640,0.474377,0.594768,-0.105685,0.342465,0.248638,0.434109,149.043553,890.082537
1.880000,-0.317467,-0.018628,0.433744,-0.317639,-0.017137,0.403382,0.343510,0.247492,0.435864,147.843198,890.808329
1.890000,0.146983,0.122471,-0.594101,0.147063,0.112673,-0.552514,0.343736,0.246243,0.436644,147.841738,891.543193
1.900000,0.411212,-0.289709,-0.069485,0.411438,-0.266532,-0.064621,0.345389,0.245496,0.436268,148.387381,892.286404
1.910000,-0.219791,0.264334,0.834439,-0.219912,0.243187,0.776029,0.346069,0.246253,0.443039,148.241227,893.037229
1.920000,0.213717,0.059887,-0.279151,0.213836,0.055096,-0.259611,0.344046,0.245890,0.442736,149.638966,893.794926
1.930000,-0.350388,0.004495,-0.654672,-0.350584,0.004136,-0.608845,0.342614,0.245844,0.446377,149.247969,894.558748
1.940000,0.294840,-0.009510,0.988217,0.295005,-0.008750,0.919042,0.340050,0.245455,0.451947,148.789277,895.327941
1.950000,-0.277182,-0.203225,-0.082869,-0.277338,-0.186967,-0.077068,0.341012,0.245686,0.451213,149.043051,896.101746
1.960000,0.240792,0.015539,-0.537896,0.240928,0.014296,-0.500243,0.340803,0.243448,0.446523,150.910433,896.879398
1.970000,-0.350075,-0.374631,0.377381,-0.350274,-0.344661,0.350964,0.340096,0.245553,0.447839,149.304977,897.660130
1.980000,0.323993,0.462128,0.494687,0.324178,0.425158,0.460059,0.340837,0.243150,0.450041,149.359516,898.443172
1.990000,-0.347965,-0.477694,-0.799786,-0.348165,-0.439478,-0.743801,0.342297,0.246244,0.452331,150.023445,899.227750
2.000000,-0.000923,0.219522,-0.444239,-0.000924,0.201960,-0.413142,0.342293,0.246232,0.454206,150.321308,900.013091
2.010000,0.110642,-0.307279,0.493678,0.110706,-0.282696,0.459120,0.342275,0.246967,0.450731,150.243911,900.798419
2.020000,-0.172297,0.027998,-0.103915,-0.172398,0.025758,-0.096641,0.340952,0.245829,0.450665,149.809514,901.582959
2.030000,0.288357,-0.052466,-0.340343,0.288526,-0.048268,-0.316519,0.340615,0.245860,0.447260,149.814729,902.365936
2.040000,-0.271966,-0.049211,0.375852,-0.272126,-0.045274,0.349542,0.336139,0.245769,0.445622,150.822500,903.146578
2.050000,0.346338,0.025797,-0.271088,0.346544,0.023734,-0.252112,0.335117,0.245135,0.445475,150.626924,903.924114
2.060000,-0.259908,-0.217815,-0.524423,-0.260063,-0.200390,-0.487713,0.332737,0.245340,0.445575,149.962246,904.697777
2.070000,0.578213,0.091930,0.401389,0.578559,0.084576,0.373292,0.336225,0.244830,0.447048,151.496634,905.466803
2.080000,-0.379862,-0.342059,1.040076,-0.380091,-0.314694,0.967271,0.335972,0.245998,0.457392,151.426070,906.230433
2.090000,0.257993,0.395216,-0.485093,0.258149,0.363599,-0.451137,0.335958,0.247460,0.451745,151.044175,906.987914
2.100000,-0.206120,-0.209577,0.148744,-0.206245,-0.192810,0.138332,0.336383,0.246376,0.451759,151.159617,907.738497
2.110000,0.128667,0.219501,0.519613,0.128746,0.201941,0.483240,0.335361,0.246291,0.453802,151.529303,908.481441
2.120000,-0.021189,-0.349876,-0.496573,-0.021202,-0.321886,-0.461813,0.335246,0.248121,0.453280,151.192498,909.216014
2.130000,-0.029724,-0.268153,-0.191413,-0.029742,-0.246701,-0.178014,0.334150,0.249268,0.452195,150.982759,909.941491
2.140000,0.583989,0.033934,0.640190,0.584350,0.031219,0.595377,0.335976,0.249266,0.452301,151.937451,910.657155
2.150000,-0.654871,-0.125977,-0.042160,-0.655278,-0.115899,-0.039209,0.340807,0.249275,0.451515,151.174173,911.362300
2.160000,0.476982,0.400950,-0.605307,0.477280,0.368874,-0.562935,0.339643,0.249438,0.451378,152.204735,912.056229
2.170000,-0.303166,-0.238380,0.604243,-0.303356,-0.219310,0.561946,0.339908,0.250040,0.454676,151.402439,912.738259
