# ICS Core 100 Hz CSV | Run: ICS_SIM_20260401_120000
# Generated: 2026-04-10T18:23:51.129714Z
# Temp compensation: LM95172 reference, per-component polynomial models
# vib_*_raw_g: T-compensated, NO kinematic correction applied
# vib_*_corr_g: T-compensated + Euler + Coriolis + R-matrix
elapsed_time_s,vib_x_raw_g,vib_y_raw_g,vib_z_raw_g,vib_x_corr_g,vib_y_corr_g,vib_z_corr_g,vib_magnitude_corr_g,vib_x_rms_g,vib_y_rms_g,vib_z_rms_g,rpm,omega_z_dps,rpm_source,drill_condition,condition_severity
0.23,-0.912193,-0.060895,0.241372,-0.912193,-0.06407,0.241372,0.94576,0.971841,1.018455,0.833734,1.721,10.3249,adxrs645,NORMAL,0.4968
0.24,0.402345,0.180366,-0.23306,0.402345,0.178054,-0.23306,0.497897,0.9556,0.998513,0.818218,1.924,11.544,adxrs645,NORMAL,0.4968
0.25,-0.057106,-0.553904,0.313369,-0.057106,-0.555833,0.313369,0.640634,0.93711,0.985172,0.804679,1.924,11.5421,adxrs645,NORMAL,0.4968
0.26,-0.221234,0.180648,1.001283,-0.221234,0.17798,1.001283,1.040764,0.920578,0.967363,0.812809,2.127,12.7612,adxrs645,NORMAL,0.4968
0.27,-0.70971,0.596991,0.033227,-0.70971,0.595812,0.033227,0.927245,0.913885,0.956581,0.798187,2.33,13.9803,adxrs645,NORMAL,0.4968
0.28,2.022225,-0.216411,0.695519,2.022225,-0.216023,0.695519,2.149374,0.973345,0.940799,0.794868,2.126,12.7574,adxrs645,NORMAL,0.4968
0.29,0.015362,-1.389034,-0.520963,0.015362,-1.389767,-0.520963,1.484281,0.956989,0.959157,0.787275,2.126,12.7555,adxrs645,NORMAL,0.4968
0.3,0.880948,-0.432929,-2.221458,0.880948,-0.434158,-2.221458,2.428876,0.95463,0.946776,0.871204,2.329,13.9746,adxrs645,NORMAL,0.4968
0.31,-0.03142,-1.092944,0.131891,-0.03142,-1.093486,0.131891,1.10186,0.939612,0.951703,0.857801,2.329,13.9727,adxrs645,NORMAL,0.4968
0.32,1.552034,0.769897,1.537535,1.552034,0.770568,1.537535,2.316592,0.963904,0.946724,0.886093,2.328,13.9708,adxrs645,NORMAL,0.4968
0.33,-0.561842,-0.14325,-1.04505,-0.561842,-0.144766,-1.04505,1.195304,0.9545,0.933028,0.891173,2.125,12.7478,adxrs645,NORMAL,0.4968
0.34,-0.684456,-0.927443,-1.30751,-0.684456,-0.929927,-1.30751,1.74437,0.947852,0.932939,0.905728,2.735,16.409,adxrs645,NORMAL,0.4968
0.35,1.366701,-2.093253,1.370986,1.366701,-2.094351,1.370986,2.851978,0.961953,0.983891,0.921828,2.531,15.186,adxrs645,NORMAL,0.4968
0.36,1.246848,0.500109,-1.115213,1.246848,0.499626,-1.115213,1.74584,0.970753,0.973973,0.927585,2.734,16.4052,adxrs645,NORMAL,0.4968
0.37,-1.583201,-0.548759,0.625526,-1.583201,-0.549878,0.625526,1.788904,0.991727,0.965203,0.920907,2.53,15.1822,adxrs645,NORMAL,0.4968
0.38,0.003066,-1.044192,1.148967,0.003066,-1.045593,1.148967,1.553512,0.97893,0.967348,0.927455,2.937,17.6224,adxrs645,NORMAL,0.4968
0.39,1.685528,-0.226753,0.109411,1.685528,-0.227371,0.109411,1.70431,1.002682,0.955856,0.915952,2.733,16.3994,adxrs645,NORMAL,0.4968
0.4,-1.509897,-0.414675,0.510795,-1.509897,-0.416761,0.510795,1.64754,1.018064,0.946368,0.908223,2.936,17.6185,adxrs645,NORMAL,0.4968
0.41,0.355109,-0.508028,-0.274438,0.355109,-0.510765,-0.274438,0.679926,1.007363,0.93835,0.898344,3.14,18.8377,adxrs645,NORMAL,0.4968
0.42,-0.447535,-0.278667,0.423542,-0.447535,-0.279877,0.423542,0.676762,0.997917,0.928356,0.890183,3.343,20.0568,adxrs645,NORMAL,0.4968
0.43,-1.968995,-0.074405,0.350235,-1.968995,-0.073123,0.350235,2.001238,1.030203,0.917812,0.881592,3.139,18.8338,adxrs645,NORMAL,0.4968
0.44,-0.570916,-0.479696,-0.450735,-0.570916,-0.482755,-0.450735,0.873018,1.022241,0.910406,0.874327,2.935,17.6108,adxrs645,NORMAL,0.4968
0.45,-0.47942,0.005888,0.129102,-0.47942,0.000905,0.129102,0.496499,1.013536,0.900455,0.864981,3.952,23.7142,adxrs645,NORMAL,0.4968
0.46,-2.102167,0.653394,-0.290227,-2.102167,0.653004,-0.290227,2.220305,1.048534,0.895902,0.856776,3.749,22.4912,adxrs645,NORMAL,0.4968
0.47,1.934514,-1.192605,-0.86801,1.934514,-1.191867,-0.86801,2.432352,1.074469,0.903058,0.857012,3.545,21.2682,adxrs645,NORMAL,0.4968
0.48,-0.203075,0.413563,-1.952362,-0.203075,0.412985,-1.952362,2.00587,1.063844,0.895741,0.8929,3.544,21.2663,adxrs645,NORMAL,0.4968
0.49,-0.829791,0.591813,-0.948914,-0.829791,0.590652,-0.948914,1.39207,1.05967,0.890664,0.894054,3.748,22.4854,adxrs645,NORMAL,0.4968
0.5,1.371189,-0.454269,-0.900136,1.371189,-0.455688,-0.900136,1.702368,1.066653,0.884194,0.894174,3.747,22.4835,adxrs645,NORMAL,0.4968
0.51,0.610771,1.609006,0.416756,0.610771,1.607472,0.416756,1.769377,1.059737,0.90358,0.887418,3.95,23.7027,adxrs645,NORMAL,0.4968
0.52,1.261538,1.678109,-0.922669,1.261538,1.67834,-0.922669,2.293386,1.063899,0.924229,0.888096,3.95,23.7007,adxrs645,NORMAL,0.4968
0.53,0.939231,-1.524833,0.425283,0.939231,-1.524728,0.425283,1.840602,1.061723,0.938846,0.881736,3.746,22.4778,adxrs645,NORMAL,0.4968
0.54,-0.071383,1.244081,1.173318,-0.071383,1.241408,1.173318,1.709639,1.052071,0.945212,0.887893,3.949,23.6969,adxrs645,NORMAL,0.4968
0.55,0.570311,0.298704,0.508839,0.570311,0.294799,0.508839,0.819193,1.045417,0.937563,0.882553,4.356,26.1371,adxrs645,NORMAL,0.4968
0.56,0.061829,-0.061253,1.443935,0.061829,-0.063888,1.443935,1.44667,1.036238,0.929341,0.89544,4.559,27.3562,adxrs645,NORMAL,0.4968
0.57,1.564384,-0.141795,0.237864,1.564384,-0.142959,0.237864,1.588809,1.047603,0.921486,0.888236,4.559,27.3543,adxrs645,NORMAL,0.4968
0.58,0.081735,-1.613264,-0.336762,0.081735,-1.61287,-0.336762,1.649678,1.038741,0.937462,0.881767,4.559,27.3524,adxrs645,NORMAL,0.4968
0.59,1.601283,-0.750516,2.11663,1.601283,-0.747615,2.11663,2.757382,1.050588,0.934614,0.916092,4.355,26.1294,adxrs645,NORMAL,0.4968
0.6,1.173301,0.401901,0.561405,1.173301,0.402281,0.561405,1.361485,1.052715,0.928351,0.911391,3.948,23.6853,adxrs645,NORMAL,0.4968
0.61,-0.91814,-0.265499,1.442866,-0.91814,-0.26805,1.442866,1.731096,1.050681,0.921463,0.922396,4.558,27.3466,adxrs645,NORMAL,0.4968
0.62,-0.615164,1.062228,-1.378463,-0.615164,1.060192,-1.378463,1.844612,1.045187,0.923828,0.931381,4.557,27.3447,adxrs645,NORMAL,0.4968
0.63,-1.199414,1.903378,-0.01185,-1.199414,1.901571,-0.01185,2.248268,1.047771,0.946901,0.924077,4.761,28.5638,adxrs645,NORMAL,0.4968
0.64,-0.539073,1.36419,1.247147,-0.539073,1.3643,1.247147,1.925432,1.041828,0.954706,0.929898,4.76,28.5619,adxrs645,NORMAL,0.4968
0.65,0.921748,-0.570513,-0.287227,0.921748,-0.571369,-0.287227,1.121865,1.040112,0.950053,0.923503,4.556,27.3389,adxrs645,NORMAL,0.4968
0.66,0.31197,0.695159,-0.50904,0.31197,0.69206,-0.50904,0.913999,1.033024,0.946719,0.918693,4.963,29.7791,adxrs645,NORMAL,0.4968
0.67,0.170927,0.267688,1.288198,0.170927,0.26541,1.288198,1.326315,1.02561,0.940283,0.925196,5.166,30.9982,adxrs645,NORMAL,0.4968
0.68,0.755315,-1.508497,-0.213871,0.755315,-1.510411,-0.213871,1.702229,1.022203,0.95099,0.918828,5.166,30.9963,adxrs645,NORMAL,0.4968
0.69,-0.929843,0.568735,0.924206,-0.929843,0.566982,0.924206,1.428367,1.020942,0.946601,0.918905,5.369,32.2155,adxrs645,NORMAL,0.4968
0.7,0.101673,-0.268437,0.06925,0.101673,-0.268303,0.06925,0.29516,1.013799,0.940451,0.912448,5.369,32.2135,adxrs645,NORMAL,0.4968
0.71,0.209164,-0.640849,-1.220139,0.209164,-0.640787,-1.220139,1.39395,1.007036,0.936945,0.917429,5.165,30.9905,adxrs645,NORMAL,0.4968
0.72,-2.052572,1.268686,0.496955,-2.052572,1.266901,0.496955,2.462733,1.028563,0.942246,0.912978,5.368,32.2097,adxrs645,NORMAL,0.4968
0.73,0.362947,1.26672,-1.256977,0.362947,1.265024,-1.256977,1.819892,1.022461,0.947341,0.918486,5.571,33.4288,adxrs645,NORMAL,0.4968
0.74,-1.737744,0.3847,0.293628,-1.737744,0.383043,0.293628,1.803523,1.035254,0.942043,0.912972,5.571,33.4269,adxrs645,NORMAL,0.4968
0.75,-1.733441,0.359964,-0.400716,-1.733441,0.358326,-0.400716,1.81488,1.047466,0.936727,0.90811,5.774,34.646,adxrs645,NORMAL,0.4968
0.76,-0.808095,-0.33384,-2.444576,-0.808095,-0.336378,-2.444576,2.596559,1.044709,0.931414,0.944226,5.774,34.6441,adxrs645,NORMAL,0.4968
0.77,-0.592121,-0.705184,0.557806,-0.592121,-0.708122,0.557806,1.078514,1.040153,0.928891,0.940277,6.181,37.0843,adxrs645,NORMAL,0.4968
0.78,-0.158432,0.639686,-2.5528,-0.158432,0.639295,-2.5528,2.636396,1.033703,0.925792,0.977456,6.18,37.0824,adxrs645,NORMAL,0.4968
0.79,-0.840184,0.556717,-0.309264,-0.840184,0.560177,-0.309264,1.056102,1.031508,0.922117,0.971943,5.977,35.8594,adxrs645,NORMAL,0.4968
0.8,0.846568,-1.806966,0.732068,0.846568,-1.806338,0.732068,2.124961,1.029427,0.938128,0.969344,5.366,32.1942,adxrs645,NORMAL,0.4968
0.81,-0.639986,-0.737173,0.99236,-0.639986,-0.739614,0.99236,1.393338,1.025569,0.93596,0.969628,6.179,37.0766,adxrs645,NORMAL,0.4968
0.82,1.163459,1.036087,2.041375,1.163459,1.035008,2.041375,2.567506,1.027341,0.937216,0.989474,5.976,35.8536,adxrs645,NORMAL,0.4968
0.83,1.268521,-0.796515,0.14183,1.268521,-0.797898,0.14183,1.505292,1.030544,0.93568,0.983688,6.179,37.0727,adxrs645,NORMAL,0.4968
0.84,-0.360692,2.031872,1.106385,-0.360692,2.030354,1.106385,2.340198,1.025211,0.955874,0.98522,6.178,37.0708,adxrs645,NORMAL,0.4968
0.85,-0.189142,0.879127,-1.233907,-0.189142,0.876642,-1.233907,1.525386,1.019437,0.95499,0.988472,6.382,38.2899,adxrs645,NORMAL,0.4968
0.86,0.250613,-0.939237,-1.690959,0.250613,-0.939428,-1.690959,1.950558,1.013917,0.954813,0.999356,6.585,39.5091,adxrs645,NORMAL,0.4968
0.87,0.785648,0.909879,0.457861,0.785648,0.910705,0.457861,1.286959,1.011612,0.954323,0.994859,6.177,37.065,adxrs645,NORMAL,0.4968
0.88,-0.183229,-1.268173,-1.163011,-0.183229,-1.270527,-1.163011,1.732168,1.006101,0.958455,0.996906,6.381,38.2841,adxrs645,NORMAL,0.4968
0.89,-0.970684,-0.234012,1.077737,-0.970684,-0.236867,1.077737,1.469643,1.005714,0.953443,0.99784,6.787,40.7244,adxrs645,NORMAL,0.4968
0.9,1.061956,-1.65098,-0.694248,1.061956,-1.65315,-0.694248,2.083899,1.006349,0.963896,0.995007,6.787,40.7225,adxrs645,NORMAL,0.4968
0.91,-0.721226,-2.535327,0.566958,-0.721226,-2.536286,0.566958,2.697101,1.003685,0.994443,0.991349,6.99,41.9416,adxrs645,NORMAL,0.4968
0.92,-0.246528,-0.113312,1.347882,-0.246528,-0.112826,1.347882,1.374879,0.998602,0.989152,0.995862,6.786,40.7186,adxrs645,NORMAL,0.4968
0.93,0.088442,-0.431381,0.572941,0.088442,-0.43207,0.572941,0.723027,0.993318,0.984885,0.992312,6.786,40.7166,adxrs645,NORMAL,0.4968
0.94,1.060487,0.29692,0.690241,1.060487,0.294802,0.690241,1.29922,0.994049,0.980154,0.989612,6.989,41.9358,adxrs645,NORMAL,0.4968
0.95,-0.145792,-0.081984,0.113195,-0.145792,-0.084735,0.113195,0.203097,0.98897,0.975074,0.984512,7.192,43.155,adxrs645,NORMAL,0.4968
0.96,-0.754293,-0.568945,1.380023,-0.754293,-0.569254,1.380023,1.672564,0.986835,0.971756,0.989397,7.396,44.3741,adxrs645,NORMAL,0.4968
0.97,2.011111,1.594699,-1.325336,2.011111,1.594566,-1.325336,2.88855,1.002585,0.980111,0.993398,6.988,41.93,adxrs645,NORMAL,0.4968
0.98,-1.42211,-1.192599,0.134601,-1.42211,-1.193563,0.134601,1.86148,1.007697,0.982499,0.988461,7.395,44.3703,adxrs645,NORMAL,0.4968
0.99,-2.813224,-0.589745,1.409353,-2.813224,-0.589261,1.409353,3.201208,1.041365,0.979349,0.993553,7.191,43.1472,adxrs645,NORMAL,0.4968
1.0,0.984028,-0.509918,-0.434056,0.984028,-0.512424,-0.434056,1.191341,1.041011,0.977287,0.993612,7.191,43.1453,adxrs645,NORMAL,0.4825
1.01,0.568169,0.936798,-0.534009,0.568169,0.932967,-0.534009,1.215899,1.037761,0.974397,0.994614,7.801,46.8064,adxrs645,NORMAL,0.4825
1.02,-0.234753,-0.566945,-1.333549,-0.234753,-0.568639,-1.333549,1.468609,1.037722,0.973485,1.003475,7.801,46.8042,adxrs645,NORMAL,0.4825
1.03,-0.220111,-0.296422,-1.262749,-0.220111,-0.298077,-1.262749,1.315991,1.037758,0.970604,1.008231,7.8,46.802,adxrs645,NORMAL,0.4825
1.04,0.647171,0.484136,0.696893,0.647171,0.483406,0.696893,1.066851,1.013961,0.971685,1.001112,8.003,48.021,adxrs645,NORMAL,0.4825
1.05,-0.769379,-1.986956,0.468127,-0.769379,-1.986368,0.468127,2.180997,1.015932,0.985231,1.001737,7.8,46.7977,adxrs645,NORMAL,0.4825
1.06,-0.665256,-0.892201,-1.259217,-0.665256,-0.894661,-1.259217,1.681847,1.017957,0.982731,1.003616,7.799,46.7955,adxrs645,NORMAL,0.4825
1.07,-0.275801,1.58007,-0.506328,-0.275801,1.578075,-0.506328,1.680106,1.015742,0.991404,1.004889,8.409,50.4566,adxrs645,NORMAL,0.4825
1.08,-1.091717,0.653078,0.173116,-1.091717,0.653105,0.173116,1.283885,1.014187,0.993544,0.99714,8.002,48.0122,adxrs645,NORMAL,0.4825
1.09,-2.12306,0.663521,2.132242,-2.12306,0.662629,2.132242,3.081057,1.021401,0.995242,1.006076,8.205,49.2311,adxrs645,NORMAL,0.4825
1.1,-2.605193,-1.237919,-2.853628,-2.605193,-1.237403,-2.853628,4.057263,1.050745,1.002521,1.041501,8.205,49.2289,adxrs645,NORMAL,0.4825
1.11,-0.075441,0.992177,0.105691,-0.075441,0.993316,0.105691,1.001768,1.050396,1.003532,1.041538,8.001,48.0056,adxrs645,NORMAL,0.4825
1.12,1.394537,0.832066,1.705254,1.394537,0.830759,1.705254,2.354312,1.0515,1.006851,1.050317,8.001,48.0034,adxrs645,NORMAL,0.4825
1.13,1.162349,-0.403686,0.066849,1.162349,-0.407892,0.066849,1.233653,1.045902,1.00471,1.049537,8.407,50.4435,adxrs645,NORMAL,0.4825
1.14,-0.870293,-0.231085,0.061947,-0.870293,-0.234761,0.061947,0.903526,1.046307,0.99872,1.037984,8.814,52.8836,adxrs645,NORMAL,0.4825
1.15,-0.085067,1.344773,-0.330788,-0.085067,1.343148,-0.330788,1.385894,1.037757,0.980387,1.024067,8.814,52.8814,adxrs645,NORMAL,0.4825
1.16,-0.933852,-0.871259,0.656341,-0.933852,-0.871068,0.656341,1.435836,1.041854,0.970324,1.026153,8.813,52.8792,adxrs645,NORMAL,0.4825
1.17,-1.405821,-0.201571,1.330038,-1.405821,-0.203299,1.330038,1.945936,1.050584,0.96212,1.034327,8.609,51.6558,adxrs645,NORMAL,0.4825
1.18,0.293163,-0.074749,-0.03598,0.293163,-0.076419,-0.03598,0.305088,1.047758,0.95948,1.034133,9.22,55.3171,adxrs645,NORMAL,0.4825
1.19,-1.031569,-0.858803,-0.195562,-1.031569,-0.858632,-0.195562,1.356329,1.051252,0.940645,1.032928,8.812,52.8726,adxrs645,NORMAL,0.4825
1.2,0.271806,0.950012,0.092742,0.271806,0.949184,0.092742,0.99168,1.050678,0.945311,1.032367,9.015,54.0915,adxrs645,NORMAL,0.4825
1.21,1.355455,1.608379,0.796843,1.355455,1.607107,0.796843,2.248335,1.058515,0.954815,1.035094,9.015,54.0893,adxrs645,NORMAL,0.4825
1.22,1.22743,-0.992694,-1.151496,1.22743,-0.995069,-1.151496,1.95517,1.06537,0.959969,1.041387,9.218,55.3083,adxrs645,NORMAL,0.4825
1.23,0.519018,-1.343914,-0.290957,0.519018,-1.344963,-0.290957,1.470701,1.062726,0.969324,1.041514,9.421,56.5272,adxrs645,NORMAL,0.4825
1.24,0.77276,1.416247,-0.254733,0.77276,1.416693,-0.254733,1.633727,1.064772,0.97946,1.041565,9.217,55.3039,adxrs645,NORMAL,0.4825
1.25,-0.651277,0.321119,-1.075745,-0.651277,0.320412,-1.075745,1.297711,1.066747,0.978406,1.046636,9.217,55.3017,adxrs645,NORMAL,0.4825
1.26,-0.173637,-0.008017,-0.028042,-0.173637,-0.009234,-0.028042,0.176129,1.066659,0.978245,1.04184,9.42,56.5206,adxrs645,NORMAL,0.4825
1.27,0.088688,-0.836255,-0.728509,0.088688,-0.840422,-0.728509,1.115751,1.064332,0.980039,1.044378,9.42,56.5184,adxrs645,NORMAL,0.4825
1.28,-0.748687,-1.623501,0.342549,-0.748687,-1.62716,0.342549,1.823601,1.047623,0.99322,1.042623,10.233,61.4009,adxrs645,NORMAL,0.4825
1.29,0.896554,0.797998,-0.263053,0.896554,0.799103,-0.263053,1.22946,1.051451,0.98669,1.041653,9.826,58.9563,adxrs645,NORMAL,0.4825
1.3,-0.812739,0.745906,0.640289,-0.812739,0.747306,0.640289,1.276315,1.050902,0.988563,1.019701,9.622,57.733,adxrs645,NORMAL,0.4825
1.31,0.217889,1.74807,-0.026482,0.217889,1.748694,-0.026482,1.762415,1.051123,0.997937,1.01962,9.622,57.7308,adxrs645,NORMAL,0.4825
1.32,-0.257448,-0.400686,-1.564268,-0.257448,-0.401314,-1.564268,1.635319,1.03992,0.995767,1.020026,9.621,57.7286,adxrs645,NORMAL,0.4825
1.33,0.662788,-0.105716,0.511048,0.662788,-0.107807,0.511048,0.843848,1.040514,0.99572,1.015945,9.825,58.9475,adxrs645,NORMAL,0.4825
1.34,1.845943,-0.391614,-2.343168,1.845943,-0.39526,-2.343168,3.009015,1.054543,0.992156,1.034385,10.028,60.1665,adxrs645,NORMAL,0.4825
1.35,0.48214,0.167231,-0.734083,0.48214,0.163803,-0.734083,0.893403,1.04676,0.969937,1.027884,10.434,62.6066,adxrs645,NORMAL,0.4825
1.36,0.398157,0.787858,-0.948732,0.398157,0.78725,-0.948732,1.295525,1.04007,0.971844,1.026211,10.434,62.6044,adxrs645,NORMAL,0.4825
1.37,-0.302013,1.48009,-0.723252,-0.302013,1.480731,-0.723252,1.675372,1.028393,0.98152,1.026853,10.23,61.381,adxrs645,NORMAL,0.4825
1.38,0.066822,-2.630385,-1.485219,0.066822,-2.631005,-1.485219,3.022007,1.028414,1.010777,1.031157,10.23,61.3788,adxrs645,NORMAL,0.4825
1.39,0.157879,1.230804,-1.365154,0.157879,1.229625,-1.365154,1.844058,1.014631,1.017975,1.040097,10.433,62.5978,adxrs645,NORMAL,0.4825
1.4,0.074736,-0.376586,0.955291,0.074736,-0.378921,0.955291,1.030411,1.003361,1.017828,1.043225,10.433,62.5956,adxrs645,NORMAL,0.4825
1.41,-1.220639,0.431079,-0.655213,-1.220639,0.42914,-0.655213,1.450318,1.010135,1.017451,1.04492,10.839,65.0357,adxrs645,NORMAL,0.4825
1.42,0.223561,0.069093,-0.25237,0.223561,0.069144,-0.25237,0.344167,1.00939,1.017089,1.044366,10.635,63.8124,adxrs645,NORMAL,0.4825
1.43,0.478941,0.043756,-0.13312,0.478941,0.04469,-0.13312,0.499102,0.991158,1.017073,1.043864,10.635,63.8101,adxrs645,NORMAL,0.4825
1.44,-0.357265,0.077783,0.222572,-0.357265,0.077293,0.222572,0.427961,0.990157,1.015956,1.043128,10.431,62.5868,adxrs645,NORMAL,0.4825
1.45,-0.991514,-0.350309,-1.057716,-0.991514,-0.353246,-1.057716,1.492195,0.993953,1.01657,1.048397,10.838,65.0269,adxrs645,NORMAL,0.4825
1.46,-0.039942,-0.593763,0.772645,-0.039942,-0.595061,0.772645,0.97605,0.971477,1.016214,1.05084,11.041,66.2459,adxrs645,NORMAL,0.4825
1.47,0.674363,-0.924993,-0.002313,0.674363,-0.925565,-0.002313,1.145182,0.954407,1.013436,1.047248,10.837,65.0225,adxrs645,NORMAL,0.4825
1.48,0.640081,-0.175738,-0.730001,0.640081,-0.177803,-0.730001,0.987026,0.956335,1.01275,1.031475,11.04,66.2415,adxrs645,NORMAL,0.4825
1.49,-1.095099,0.856375,0.90494,-1.095099,0.855463,0.90494,1.658305,0.959001,1.014639,1.03108,11.243,67.4604,adxrs645,NORMAL,0.4825
1.5,-0.208464,0.768041,-2.972578,-0.208464,0.766732,-2.972578,3.076939,0.949377,1.016511,1.069292,11.04,66.237,adxrs645,NORMAL,0.4825
1.51,1.330876,-0.157337,0.142131,1.330876,-0.158822,0.142131,1.347834,0.956712,1.003846,1.068574,11.446,68.6772,adxrs645,NORMAL,0.4825
1.52,-0.321325,1.399224,-1.063404,-0.321325,1.398569,-1.063404,1.786078,0.948903,0.999549,1.069881,11.242,67.4538,adxrs645,NORMAL,0.4825
1.53,1.4782,0.397276,0.624244,1.4782,0.396082,0.624244,1.652767,0.955743,0.988645,1.070857,11.445,68.6728,adxrs645,NORMAL,0.4825
1.54,-0.330045,-1.31156,0.932887,-0.330045,-1.312994,0.932887,1.644129,0.956286,0.989569,1.06849,11.445,68.6706,adxrs645,NORMAL,0.4825
1.55,0.312209,1.365125,-0.194275,0.312209,1.361769,-0.194275,1.410543,0.955095,0.99846,1.067454,11.648,69.8896,adxrs645,NORMAL,0.4825
1.56,-0.420317,1.391681,1.916843,-0.420317,1.38929,1.916843,2.404388,0.955999,1.008059,1.074873,12.055,72.3298,adxrs645,NORMAL,0.4825
1.57,0.009372,-0.754719,0.812643,0.009372,-0.75396,0.812643,1.108572,0.943113,1.010774,1.077678,11.851,71.1063,adxrs645,NORMAL,0.4825
1.58,-0.254687,0.600835,-0.259956,-0.254687,0.600267,-0.259956,0.701971,0.943422,0.999627,1.077465,11.647,69.8829,adxrs645,NORMAL,0.4825
1.59,1.568144,-0.701337,0.481799,1.568144,-0.702493,0.481799,1.784573,0.942865,0.999299,1.057569,12.054,72.3231,adxrs645,NORMAL,0.4825
1.6,-0.490001,-0.282255,-0.413151,-0.490001,-0.283672,-0.413151,0.700902,0.936818,0.998892,1.056885,11.85,71.0997,adxrs645,NORMAL,0.4825
