# ICS Core 1 Hz CSV | Run: ICS_SIM_20260401_120000
# Generated: 2026-04-10T18:23:51.272937Z
# Temp compensation: LM95172 reference, ADXL206HDZ polynomial correction
# inclination_valid=0: tool rotating, inclination suppressed
elapsed_time_s,inclination_deg,toolface_deg,inclination_valid,inclination_source,temp_internal_c,temp_external_c,thermal_status,rpm_1hz,depth_m
81,14.8967,50.8626,0,suppressed,121.0799,125.9837,NORMAL,149.447,0.41
82,14.9251,51.1017,0,suppressed,121.7779,126.7826,NORMAL,149.466,0.415
83,14.8715,51.4983,0,suppressed,121.6874,126.7756,NORMAL,149.718,0.42
84,14.8702,51.2823,0,suppressed,122.0145,127.0684,NORMAL,150.405,0.425
85,14.8332,51.2058,0,suppressed,122.482,127.5009,NORMAL,150.17,0.43
86,14.864,51.1575,0,suppressed,123.2185,128.3332,NORMAL,149.189,0.435
87,14.8556,50.7472,0,suppressed,123.4457,128.4585,NORMAL,149.907,0.44
88,14.904,50.5872,0,suppressed,123.5967,128.544,NORMAL,150.448,0.445
89,14.994,51.0932,0,suppressed,124.215,129.138,NORMAL,150.27,0.45
90,14.9307,51.4528,0,suppressed,124.4607,129.5159,NORMAL,149.792,0.455
91,14.9392,51.428,0,suppressed,125.0206,129.9105,NORMAL,150.438,0.46
92,14.9251,51.3226,0,suppressed,124.9375,129.9724,NORMAL,148.803,0.465
93,14.8307,51.0255,0,suppressed,125.3583,130.3154,NORMAL,149.767,0.47
94,14.7863,51.5486,0,suppressed,125.6621,130.5783,NORMAL,150.308,0.475
95,14.9521,51.1993,0,suppressed,125.7072,130.6217,NORMAL,149.904,0.48
96,14.8315,51.4733,0,suppressed,126.4532,131.5498,NORMAL,149.475,0.485
97,14.7922,51.1158,0,suppressed,126.7438,131.658,NORMAL,148.339,0.49
98,14.7693,51.0424,0,suppressed,126.9726,131.9447,NORMAL,150.683,0.495
99,14.8016,51.5159,0,suppressed,127.199,132.1521,NORMAL,150.463,0.5
100,14.9387,51.9833,0,suppressed,127.1838,132.2897,NORMAL,149.74,0.505
101,14.8287,51.2796,0,suppressed,127.7064,132.8602,NORMAL,150.332,0.51
102,14.8008,51.3891,0,suppressed,127.9938,133.0846,NORMAL,149.856,0.515
103,14.8505,51.4201,0,suppressed,128.1408,133.1033,NORMAL,149.118,0.52
104,14.8019,51.3037,0,suppressed,128.5573,133.5915,NORMAL,150.158,0.525
105,14.8219,51.4118,0,suppressed,128.9492,133.8583,NORMAL,149.484,0.53
106,14.938,51.5097,0,suppressed,129.5649,134.5859,NORMAL,149.44,0.535
107,14.9063,51.5194,0,suppressed,129.3766,134.2009,NORMAL,149.784,0.54
108,14.8997,51.4014,0,suppressed,129.6318,134.6554,NORMAL,150.621,0.545
109,14.774,51.4767,0,suppressed,129.7781,134.7726,NORMAL,149.74,0.55
110,14.9141,51.5482,0,suppressed,129.5413,134.5853,NORMAL,149.749,0.555
111,14.8749,51.1898,0,suppressed,130.2336,135.2324,NORMAL,149.903,0.56
112,14.8499,51.3268,0,suppressed,130.4698,135.5533,NORMAL,150.835,0.565
113,14.8767,50.7362,0,suppressed,131.2803,136.204,NORMAL,149.537,0.57
114,14.8816,51.4351,0,suppressed,130.8216,135.8973,NORMAL,149.224,0.575
115,14.9272,51.7922,0,suppressed,131.1457,136.193,NORMAL,149.941,0.58
116,14.8342,51.4221,0,suppressed,131.2579,136.3669,NORMAL,150.593,0.585
117,14.6919,51.5871,0,suppressed,131.1664,136.282,NORMAL,150.079,0.59
118,14.7624,51.5751,0,suppressed,131.932,136.8368,NORMAL,151.277,0.595
119,14.8442,51.7867,0,suppressed,132.0178,137.0695,NORMAL,148.791,0.6
